id,product_type,recommended_pattern,style_priority,color_mood,typography_mood,key_effects,decision_rules,anti_patterns,source
1,SaaS General,Hero + Feature Cards + CTA Strip + Pricing,Flat Modern + Glassmorphism,Trust blue + orange CTA,Professional hierarchy clear,Subtle hover 200ms; smooth transitions; card lift 4px,Match glassmorphism if data-heavy; flat if content-first; always include pricing anchor,Excessive animation; dark mode forced; no pricing visible above fold,"WCAG 2.2 / Material Design 3"
2,Micro SaaS,Hero-Centric + Single CTA + Trust Row,Bold flat + dark mode optional,Bold primary + accent contrast,Modern readable energetic,CTA pulse 2s if bold brand; fast fade-in 200ms,If pre-launch use waitlist; if single feature keep hero 100vh; always one primary CTA only,Multiple competing CTAs; no trust signals; hidden pricing,"WCAG 2.2"
3,Developer Tool,Sidebar Command + Code Area + Top Bar,Utility First + Terminal-inspired,Monochrome dark or light; accent for interactive,Monospace for code; system sans for UI,Focus ring always visible; code syntax highlight; no transition on code blocks,Dark mode default for code-heavy; keyboard-first; no hover-only actions; breadcrumb nav,Bright pastel colors in code area; round cards around code blocks,"WCAG 2.2 / Apple HIG 2025"
4,Admin Panel,Split Sidebar + Data Table + Action Bar,Data Dense + Clean Light,Neutral slate; status colors with icons,System sans compact; 13-14px for table rows,Row hover highlight 150ms; sticky header; column sort animation,Prioritize scanability; group related filters; bulk actions in action bar not context menu,Nested 3+ level sidebar; too many colors for status indicators; data truncated without tooltip,"WCAG 2.2 SC 1.3.1 / Material Design 3"
5,E-commerce Consumer,Product Grid + Filter Sidebar + Cart Drawer,Card Grid + Scroll Story,Brand primary + success green,Readable engaging clear hierarchy,Card hover scale 1.02 200ms; drawer slide 300ms; skeleton on load,Show social proof (ratings) on card; urgency scarcity only when real; fast checkout via drawer,Filter that forces page reload; product cards without price; checkout behind auth wall,"WCAG 2.2 / Baymard Institute E-commerce 2024"
6,E-commerce Luxury,Curated Hero + Product Showcase + Brand Story,Liquid Glass + Air minimal,Midnight gold or stone + gold accent,Elegant serif heading; refined body,Slow fade-in 400ms; subtle parallax; chromatic text optional,Never show sale price prominently; no countdown timers; editorial narrative before CTA,"Flash sale urgency tactics; excessive animation; crowded grid; promotional banners","WCAG 2.2 / Apple HIG 2025"
7,Mobile iOS App,Tab Bar + Card Feed + Sheet Modal,iOS Human Interface,System colors with brand tint,SF Pro Display + SF Pro Text,Spring animation 350ms; haptic implied; blur on modal sheet,Follow Apple HIG tab bar 3-5 items; use sheets not modal dialogs; respect safe areas,Non-standard navigation patterns; web-style dropdowns; modal covering full screen without handle,"Apple HIG 2025"
8,Mobile Android App,Bottom Nav + List/Grid + FAB + Bottom Sheet,Material You,Dynamic color tonal; brand as seed,Roboto or Google Sans,Shared element 300ms; FAB morph; tonal surface elevation,Use FAB for primary action; bottom nav 3-5 items; dynamic color from user wallpaper; M3 components,Hard-coded primary color ignoring Material You; non-standard FAB behavior; scrollable tabs >5,"Material Design 3"
9,Analytics Dashboard,KPI Row + Chart Grid + Filter Bar + Time Range,Cockpit dark + Data Dense light,Status colors with text labels; muted palette,System mono for numbers; system sans for labels,Chart transitions 400ms; KPI counter 800ms; tooltip fade 150ms; no layout shift,Default to most important KPI first; persist filter state in URL; provide CSV export always,Pie charts for >4 categories; chart colors without text labels; filter state lost on refresh,"WCAG 2.2 / W3C Data Visualization"
10,BI Tool,Multi-Chart Canvas + Sidebar Filter + Drill Down,Scientific + Data Dense,Muted academic palette; accent for selected,Compact system sans for dense data,Drill-down expand 250ms; selection highlight; cross-filter fade 200ms,Cross-filter linked charts on selection; undo for all filter actions; breadcrumb for drill-path,Charts that don't update on filter; no export; no undo for filter changes,"WCAG 2.2 / Tableau Design Guidelines"
11,Financial Dashboard,KPI Summary + Candlestick + P&L Table,Financial dark + Clean Light,Trust navy + red/green replaced with up/down arrows,System serif for numbers; monospace optional,Minimal animation; row stripe hover; sort 150ms; sparkline in table,Use candlestick not pie; prefix gains with up/down arrow not just color; freeze header on scroll,Pie charts for portfolio; color-only gain/loss; non-sticky headers on long tables,"WCAG 2.2 SC 1.4.1 / PCI DSS 4.0"
12,Productivity App,Two-Pane + Toolbar + Bottom Sheet Mobile,Sidebar Command + Card Grid,Neutral with accent for active,Clean system sans; system mono for code,Pane resize 150ms; toolbar hover 100ms; task checkbox spring,Keyboard shortcuts documented; focus management on task complete; undo for all destructive actions,Tasks without keyboard shortcuts; bulk actions hidden in context menu only; no undo for delete,"WCAG 2.2 / Apple HIG 2025"
13,Social Platform,Infinite Feed + Story Bar + Bottom Nav Mobile,Card Grid + Feed Infinite,Brand primary + neutral surface,Readable system sans; emoji-safe stack,Pull-to-refresh; skeleton loader; presence animation 2s; reaction micro-animation,Skeleton loaders not spinners; infinite scroll with virtual list; report/block always accessible,Autoplay video with sound; infinite scroll without skip option; no pause on notification feed,"WCAG 2.2 / GDPR Art 7"
14,Healthcare App,Wizard Flow + Dashboard + Profile,Calm Clinical + Material You,Medical blue + success green + warning amber,System sans 18px+ for readability; accessible line-height 1.6,Gentle transitions 200ms; no flicker; accessible focus ring 4px,AA contrast mandatory; test with screen reader; every error must have recovery path; no jargon,Small font sizes; complex navigation; medical jargon without explanation; aggressive animation,"WCAG 2.2 AAA / HIPAA / Apple HIG Accessibility"
15,Education App,Wizard Flow + Progress Bar + Achievement Cards,Pastel Soft + Card Grid,Warm inviting; achievement gold,Rounded friendly 16px+; generous line-height,Achievement bounce 500ms; progress fill 400ms; gentle hover,Celebrate progress with positive feedback; always show what's next; no punishment states,Negative feedback; failure state without recovery path; countdown timers on learning,"WCAG 2.2 / Kohn 2023 Feedback Theory"
16,Marketing Landing,Hero + Social Proof + Feature Strips + CTA,Gradient Mesh + Hero Bold,Brand vivid + white + CTA contrast,Bold heading; clear body; CTA 16px+,Scroll-triggered reveals 400ms; counter 800ms; testimonial fade,A/B test headline copy; single conversion goal per page; social proof above fold,Multiple CTAs competing; autoplay video; no mobile version; excessive animation distracts from CTA,"WCAG 2.2 / Baymard Institute CRO 2024"
17,Blog Editorial,Article + TOC Sidebar + Related + Author,Magazine + Long Read,Warm off-white; editorial black,Readable serif body 18px; heading contrast,None; smooth anchor scroll; progress bar on read,Table of contents on desktop; reading progress; generous padding 40px+ body; author bio,No ToC for long articles; tiny body text; excessive ads interrupting reading flow,"WCAG 2.2 / Nielsen Norman Reading Patterns 2024"
18,Documentation Site,Sidebar Nav + Markdown Content + Code Blocks,Content First + Utility First,Clean light + dark mode toggle; code syntax,System sans body; monospace code 14px+,None; syntax highlight; copy-code button; anchor links,Search front-and-center; versioned docs; copy-code on all code blocks; anchor links on headings,No search; no dark mode; code without copy button; no version switcher,"WCAG 2.2 / Diátaxis Documentation 2024"
19,Portfolio,Hero Statement + Work Grid + About + Contact,Air + Gallery Mosaic,Dark artist or clean white; personal brand accent,Display/heading contrast; body system sans,Hover scale 1.02 200ms; lazy-load blur-to-sharp; page transition 300ms,Keep to < 10 featured projects; full-width images; no dead links; contact form accessible,Too many projects; small thumbnails; dead links; inaccessible contact (email only),"WCAG 2.2"
20,Onboarding Flow,Step Progress + Single Task Per Screen + Celebration,Wizard Flow + Flat Modern,Friendly primary + success confirmation,Clear 16px+; generous 1.5 line-height; button 16px+,Step slide 300ms; progress fill; celebration confetti optional+reducedMotion,One task per screen max; always show step N of M; skip option for optional steps; undo on critical steps,Multiple inputs per screen; no progress indication; no skip option; aggressive time pressure,"WCAG 2.2 / Nielsen Onboarding UX 2024"
21,AI Interface,Prompt Input + Response Stream + History Sidebar,Cross-CLI Platform + Dark Vibrant,Neural blue dark or clean AI light; token color for provider,Monospace for code blocks; system sans for UI,Stream text fade-in 50ms per character; typing indicator; smooth scroll to bottom,Streaming response; copy button on all outputs; token/cost display; keyboard-first; clear current session,Blocking spinner during stream; no copy button; no session history; mixed provider colors without badge,"WCAG 2.2 / IJFW Design System v1.1"
22,Settings Page,Section List + Form Fields + Save Confirmation,Content First + List View,Neutral slate; minimal accent,System sans 16px; form labels clear,Instant save toast 3s; toggle animation 150ms; section anchor scroll,Group settings logically; section headings; instant save with undo (no Save button if auto-save); keyboard-accessible toggles,Confusing grouping; Save button far from changed field; no confirmation of save; discard without warning,"WCAG 2.2 / Apple HIG 2025"
23,Search Results,Search Bar + Filters + Results Grid or List + Pagination,Card Grid + List View,Neutral; accent for selected filters; match score highlight,System sans; keyword bold in results,Filter animate 200ms; result fade-in stagger 50ms per row; pagination smooth,Show result count; allow result layout toggle (grid/list); URL-encoded filters; preserve scroll on back,No result count; filters that reset scroll; pagination that loses filter state,"WCAG 2.2 SC 2.4 / Baymard Institute Search 2024"
24,Notification Center,Feed List + Mark-All-Read + Filter,Feed Infinite + List View,Neutral; unread bold contrast; action color,System sans 16px; timestamp muted,Notification fade 200ms; unread dot pulse 2s; mark-read animation,Group by date; mark all read; filter by type; keyboard navigation; clear-all with undo,Unread counts without clear mechanism; no grouping; no keyboard navigation; permanent notifications with no dismiss,"WCAG 2.2 / Apple HIG 2025 Notifications"
25,Error / 404 Page,Error Message + Suggested Actions + Navigation,Clean Light + Hero Bold,Neutral; one accent for primary CTA,Clear headline 32px+; body 18px; CTA 16px,None; single fade-in 200ms,Explain what went wrong; suggest 2-3 recovery paths; maintain nav context; never blame user,Technical error codes only; dead-end page with no links back; blame user language; too complex,"WCAG 2.2 / IJFW Positive Framing"
26,Pricing Page,Comparison Table + Feature Matrix + CTA + FAQ,Card Grid + Social Proof,Trust blue + accent for recommended tier,Bold headings; clear feature list; CTA contrast,Plan hover highlight 200ms; toggle annual/monthly; recommended badge,Highlight recommended plan; toggle billing period; FAQ for objections; no hidden features,Too many tiers (>4); missing feature comparison; no FAQ; features vague without explanation,"WCAG 2.2 / Baymard Pricing UX 2024"
27,Auth Flow,Single Field Per Screen + Social Login + Progress,Wizard Flow + Flat Modern,Clean neutral; primary brand CTA,Readable 16px; error red with icon; success green with icon,Field focus ring; error shake 150ms; submit loading state; oauth button hover,One field per step; social login first; password strength meter; show/hide password; no captcha before submit,Multiple fields first screen without flow; captcha on first attempt; no password visibility toggle; no social auth,"WCAG 2.2 SC 3.3 / NIST 800-63 2024"
28,Multi-Agent Dashboard,Provider Grid + Session Log + Observation Panel,IJFW Dashboard + Cockpit,IJFW palette; provider color-coded badges,System sans for UI; monospace for logs; compact density,Provider badge color transition 300ms; log stream 50ms fade; observation ticker,Color-code providers; show active/idle state; observation trail visible; export session log,Mixed provider output without attribution; no active state; no observation trail; no export,"WCAG 2.2 / IJFW Design System v1.1"
29,Map Interface,Map Canvas + Layer Control + Tooltip + Legend,Scientific + Data Dense,Neutral bg; map colors per standard; accent for selection,System sans for labels; compact for legend,Zoom transition 200ms; tooltip fade 150ms; cluster animation,Cluster at high zoom; tooltip on hover+focus; accessible layer toggle; scale legend,"Map overlay with only color; no zoom for colorblind users; no keyboard pan","WCAG 2.2 SC 1.4.1 / W3C Spatial Data 2024"
30,Video Platform,Player + Queue Sidebar + Recommendation Grid,Video Player + Dark Vibrant,Dark bg; thumbnail color; CTA red/accent,System sans 16px for UI; subtitle 18px minimum,Play hover overlay; recommendation hover scale 1.02 200ms; progress bar scrub,Keyboard-accessible player controls; subtitles on by default; picture-in-picture; quality selector,Autoplay with sound; no keyboard controls; subtitles opt-in only; quality hidden in menu,"WCAG 2.2 SC 1.2 / Apple HIG 2025 Video"
31,Command Palette,Search Input + Result List + Keyboard Shortcuts,Frosted Panel + Utility First,Dark frosted or clean light; accent for selected; muted for shortcuts,Monospace for shortcuts; system sans for labels,Open/close fade 150ms; result highlight instant; scroll-to-selected,Keyboard shortcut for open (Cmd+K); fuzzy search; keyboard-only navigation; recent actions at top,Mouse-only; no shortcut to open; no fuzzy match; no recent actions,"WCAG 2.2 SC 2.1.1 / Apple HIG 2025"
32,Dashboard Widget,Single Metric + Sparkline + Trend Badge + Actions,Bento Grid + Stat Card,Neutral card; status color with text; accent for primary,System sans; mono for numbers; compact,Hover reveal actions 150ms; sparkline draw 400ms; counter up 800ms,Show metric + trend together; actions on hover (not always visible); link to detail page,Widget with metric only and no trend; actions always visible cluttering grid; no detail link,"WCAG 2.2 / Material Design 3 Cards"
