id,category,name,keywords,primary_colors,secondary_colors,effects,best_for,avoid_for,light_mode,dark_mode,wcag_aa,source
1,minimal,Swiss Grid,"clean grid minimal functional whitespace high-contrast sans-serif essential geometric","#000000 #FFFFFF","#808080 #F5F5F5","none; subtle 200ms transitions; sharp type hierarchy","developer tools dashboards admin panels documentation SaaS","entertainment playful gaming creative portfolios",yes,yes,AAA,"WCAG 2.2 / Muller-Brockmann Grid Systems"
2,minimal,Flat 2.0,"flat simple clean solid color no shadow material-inspired modern","#1E88E5 #FFFFFF","#F5F5F5 #E0E0E0","flat transitions 150ms; no shadows; solid fills","productivity apps mobile first landing pages","luxury brands editorial immersive experiences",yes,yes,AA,"Material Design 3 / W3C ARIA Practices"
3,minimal,Content First,"typography-led minimal text-primary editorial reading-focused long-form","#1A1A1A #FFFFFF","#666666 #EFEFEF","none; generous line-height 1.6; slow fade-in 300ms","blogs documentation wikis legal content","dashboards data tools gaming",yes,yes,AAA,"WCAG 2.2 SC 1.4.8 Visual Presentation"
4,minimal,Monochrome,"grayscale achromatic single-hue neutral no-color accessible","#111111 #FFFFFF","#444444 #888888 #CCCCCC","none; layered grays; sharp contrast steps","accessibility-first apps terminal-style tools print","consumer apps brand-heavy products",yes,yes,AAA,"WCAG 2.2 SC 1.4.3 Contrast"
5,minimal,Air,"ultra-minimal spacious breathing room whitespace large margins sparse","#000000 #FFFFFF","#E8E8E8","slow dissolve 400ms; wide margins; generous padding","portfolio luxury brand editorial","data-dense tools forms crowded UIs",yes,no,AA,"Apple HIG 2025 Visual Hierarchy"
6,dashboard,Data Dense,"information-rich compact metrics tables inline dense utilitarian","#1E293B #FFFFFF","#64748B #334155","none; hover row highlight 150ms; sticky headers","internal admin tools analytics BI dashboards","consumer apps landing pages marketing",yes,yes,AA,"Material Design 3 / WCAG 2.2"
7,dashboard,Bento Grid,"bento box modular card grid flexible mosaic widget","#0F172A #FFFFFF","#1E293B #334155","card hover lift 3px 200ms; gradient spot accents; gap-based layout","dashboards product homes feature showcases","forms wizards long-form reading",yes,yes,AA,"Apple HIG 2025 / W3C CSS Grid"
8,dashboard,Cockpit,"control-room status panel real-time live monitoring operational","#0A0F1C #00FF9C","#1A2332 #0D4F3C","pulse animation 2s; glow borders; real-time counter transitions","ops dashboards system monitors DevOps","consumer shopping editorial",no,yes,AA,"Material Design 3 Dark Theme"
9,dashboard,Sidebar Command,"sidebar-primary command-palette navigation-forward dense list tree","#111827 #F9FAFB","#1F2937 #374151","sidebar collapse 250ms; hover fill; focus ring 2px","admin tools dev tools file managers","landing pages one-page sites marketing",yes,yes,AA,"Apple HIG 2025 Navigation / WCAG 2.2 SC 2.4.7"
10,dashboard,Split Pane,"two-panel editor IDE file-browser primary-secondary resizable","#1C1C1E #FFFFFF","#2C2C2E #3A3A3C","pane resize drag; transition 150ms; focus border","IDEs dev tools email clients file managers","single-column mobile-only consumer apps",yes,yes,AA,"Apple HIG 2025"
11,landing,Hero Bold,"hero full-bleed large-type dramatic impact above-fold conversion","#0000FF #FFFFFF","#FF0000 #FFFF00","fast fade-in 200ms; parallax scroll; bold type scale","product launches marketing SaaS landing conversion","documentation internal tools dense data",yes,yes,AA,"WCAG 2.2 SC 1.4.3"
12,landing,Scroll Story,"scroll-triggered narrative animated sections motion storytelling","#FFFFFF #111111","#E5E7EB #374151","scroll-triggered reveals 400ms; fade up 30px; stagger children","product tours feature stories brand campaigns","forms dashboards accessibility-first",yes,yes,AA,"W3C Scroll Snap / Apple HIG Motion"
13,landing,Social Proof,"testimonials trust-signals logos metrics credibility conversion","#FFFFFF #1E293B","#F1F5F9 #64748B","counter animation 800ms; logo fade; star rating","SaaS landing startup B2B enterprise","internal tools no-frills utilities",yes,yes,AA,"WCAG 2.2"
14,landing,Gradient Mesh,"vibrant gradient fluid organic colorful background modern","rgba(99,102,241) rgba(236,72,153)","#FFFFFF rgba(0,0,0,0.1)","animated gradient shift 8s; blur behind cards; subtle grain","consumer apps crypto startups creative tools","enterprise internal tools accessibility-first contexts",yes,yes,AA,"WCAG 2.2 SC 1.4.11 Non-text Contrast"
15,landing,Video Backed,"video hero background immersive autoplay silent full-bleed","overlay rgba(0,0,0,0.5)","#FFFFFF #F0F0F0","overlay fade 300ms; autoplay muted; fallback image","brand campaigns product demos entertainment","accessibility-first mobile-data-limited contexts",yes,yes,AA,"Apple HIG 2025 / WCAG 2.2 1.2.5"
16,editorial,Magazine,"editorial typographic pull-quote article feature grid layout","#1A1A1A #FFFFFF","#D4A017 #888888","none; smooth anchor scroll; drop cap","news blogs magazines long-form","apps dashboards tools",yes,yes,AA,"WCAG 2.2 SC 1.4.8 / AP Style"
17,editorial,Print-Inspired,"printed material serif baseline-grid rules borders columns newspaper","#000000 #FFF8F0","#888888 #CCCCCC","none; column rules; letter-spacing headers","editorial newspapers literary sites academic","consumer apps gaming commerce",yes,no,AAA,"WCAG 2.2 SC 1.4.8"
18,editorial,Long Read,"reading-optimized comfortable line-length 60-70ch serif body focused","#1A1A1A #FFFEF5","#999999","none; progress indicator; footnote hover","blog articles documentation tutorials","dashboards admin tools dense UI",yes,no,AAA,"WCAG 2.2 SC 1.4.8 Visual Presentation"
19,editorial,Journalistic,"breaking news column grid bold headline tight leading date","#000000 #FFFFFF","#CC0000 #888888","none; marquee optional; highlight on hover","news wire editorial journalism","entertainment dashboards apps",yes,yes,AA,"WCAG 2.2"
20,native-platform,iOS Human Interface,"native iOS apple rounded vibes system font SF Pro safe-area","#007AFF #FFFFFF","#F2F2F7 #E5E5EA","spring animation 350ms cubic-bezier(0.34,1.56,0.64,1); haptic implied; blur nav","iOS apps Safari web views Apple ecosystem","Android-first cross-platform brand-led",yes,yes,AA,"Apple HIG 2025"
21,native-platform,Material You,"material design 3 google android dynamic color tonal palette","#6750A4 #FFFFFF","#E8DEF8 #21005D","shared element transition 300ms; FAB morph; tonal surface elevation","Android apps Google ecosystem cross-platform","iOS-first projects Apple-HIG-dependent",yes,yes,AA,"Material Design 3 / WCAG 2.2"
22,native-platform,Windows Fluent,"fluent design system microsoft windows acrylic depth motion","#0067C0 #FFFFFF","#F3F3F3 #E0E0E0","acrylic blur 20px; reveal highlight on hover; depth animation","Windows apps enterprise web Electron","Mobile-first consumer apps",yes,yes,AA,"Windows Fluent Design / WCAG 2.2"
23,native-platform,Desktop Native,"desktop-app window chrome menu bar title bar native menubar","#1C1C1E #FFFFFF","#3A3A3C #2C2C2E","window shadow; menu hover 100ms; focus ring 2px","Electron Tauri desktop apps","Mobile web landing pages consumer",yes,yes,AA,"Apple HIG 2025 / WCAG 2.2 SC 2.4.7"
24,glass,Glassmorphism,"frosted glass backdrop blur translucent overlay depth layered","rgba(255,255,255,0.15) rgba(255,255,255,0.25)","vibrant bg: #6366F1 #EC4899","backdrop-filter blur(15px); 1px rgba border; subtle shadow","modern SaaS financial modals nav overlays","accessibility-first mobile-data-limited print",yes,yes,AA,"WCAG 2.2 SC 1.4.3 / MDN Backdrop Filter"
25,glass,Liquid Glass,"premium glass fluid organic morphing translucent high-end","rgba(255,255,255,0.2)","#000000 #C0C0C0","blur(20px); border-radius morph; smooth transition 500ms; chrome reflection","luxury fintech premium B2B executive dashboards","consumer apps accessibility-first mobile",yes,yes,AA,"Apple HIG 2025 visionOS guidelines"
26,glass,Frosted Panel,"dark frosted panel sidebar background blur depth separation","rgba(30,30,30,0.7) rgba(255,255,255,0.05)","#FFFFFF #888888","backdrop-filter blur(10px); border 1px rgba(255,255,255,0.1)","dark dashboards developer tools overlay panels","light-mode-only print editorial",no,yes,AA,"WCAG 2.2 SC 1.4.3"
27,dark-mode,Pure Dark,"pure dark black background OLED power-saving night mode","#000000 #FFFFFF","#1A1A1A #333333","none; color token swap on prefers-color-scheme; fade 200ms","mobile OLED media consumption developer tools","print editorial elderly-audience apps",no,yes,AA,"WCAG 2.2 / Material Design 3 Dark Theme"
28,dark-mode,Dim Dark,"soft dark charcoal not pure black comfortable eye strain midnight","#121212 #E0E0E0","#1E1E1E #2C2C2C","surface elevation shadow-based; 0-4-8-16dp shadows","developer tools media night-mode interfaces","print OLED-optimized",no,yes,AA,"Material Design 3 SC 1.4.3 Dark"
29,dark-mode,Dark Vibrant,"dark bg vivid accent neon pop color contrast rich modern","#0D1117 #FFFFFF","#58A6FF #3FB950 #FF7B72","glow text-shadow; subtle particle optional; animated gradient accent","developer platforms gaming crypto design tools","conservative enterprise elderly audiences",no,yes,AA,"WCAG 2.2 SC 1.4.3"
30,dark-mode,Midnight Brand,"brand-primary in dark context logo-color on dark background rich","#111827 #F9FAFB","brand token","token-based theme swap; brand color at 90% not pure","brand dashboards premium SaaS dark context","consumer apps light-preferred accessibility",no,yes,AA,"WCAG 2.2"
31,light-mode,Clean Light,"white background light airy professional classic standard","#FFFFFF #111111","#F3F4F6 #6B7280","none; subtle hover states; light drop shadows","enterprise SaaS documentation tools","entertainment gaming media-heavy dark-favored",yes,no,AA,"WCAG 2.2"
32,light-mode,Warm Off-White,"warm cream ivory warm white soft subtle off-white base","#FFFBF5 #1A1A1A","#F5EFE6 #888888","none; warm tones; paper texture optional","editorial blogs documentation reading-heavy","consumer apps gaming media",yes,no,AAA,"WCAG 2.2 SC 1.4.8"
33,light-mode,Pastel Soft,"soft pastel gentle delicate feminine wellness calm tonal","#FDF4FF #2D2D2D","#E9D5FF #FCE7F3","gentle fade 200ms; border-radius 12px; soft card shadows 0 2px 8px","health wellness lifestyle consumer apps beauty","developer tools enterprise internal tools",yes,no,AA,"WCAG 2.2 SC 1.4.3"
34,brutalist,Raw Brutalism,"raw brutal stark high-contrast unpolished anti-design bold visible-grid","#FF0000 #0000FF #FFFF00 #000000 #FFFFFF","#00FF00 #FF00FF","none; 0ms transition; sharp 0px radius; visible grid borders","design portfolios counter-culture artistic tech blogs","enterprise consumer customer-facing professional",yes,yes,AAA,"WCAG 2.2 / Brutalist Web Design principles"
35,brutalist,Neo Brutalism,"neo-brutalist bold border thick outline shadow offset colored","#FFFFFF #000000","#FF5C5C #FFF176","box-shadow offset 4px 4px 0px #000; thick border 2-3px; instant transitions","startups bold SaaS indie projects portfolio","enterprise conservative healthcare",yes,yes,AA,"WCAG 2.2"
36,brutalist,Utility First,"functional zero-decoration zero-abstraction utility raw efficiency","#FFFFFF #000000","#E5E5E5 #111111","none; 0 decoration; monospace body optional","developer tools CLI-adjacent internal ops","consumer marketing brand-driven",yes,yes,AAA,"WCAG 2.2 SC 1.4.8"
37,experimental,Skeuomorphic,"realistic texture material shadow depth affordance physical metaphor","#D4A574 #8B4513","#F5DEB3 #2C1810","multi-layer shadow; gradient emboss; texture background; press animation","creative tools specialty apps nostalgia","mobile-first flat modern business apps",yes,no,AA,"Apple HIG 2025 historical guidelines"
38,experimental,Claymorphism,"3d clay puffy rounded inflated soft depth cartoon friendly","#FDE68A #FBCFE8 #A5F3FC","#FFFFFF shadow colors","multi-layer shadow color offset; border-radius 20-30px; inner shadow","consumer apps kids education games entertainment","enterprise data-dense internal tools",yes,no,AA,"WCAG 2.2 SC 1.4.11"
39,experimental,Retro Pixel,"pixel art retro 8-bit game low-res chunky grid nostalgia","#000000 #FFFFFF #FF0000 #00FF00","#0000FF #FFFF00","none; cursor sprite; pixel border 2px; grid snap","games portfolio indie entertainment","business apps enterprise data tools",yes,yes,AA,"WCAG 2.2"
40,experimental,Vaporwave,"vaporwave synthwave purple pink teal neon sunset retro-futurist","#1A0533 #FF71CE #05FFA1","#B967FF #FFFB96","gradient animation 10s; glow text-shadow; scanline optional","portfolio entertainment music creative apps","enterprise healthcare accessibility-first",no,yes,AA,"WCAG 2.2 SC 1.4.3"
41,experimental,Holo Chrome,"holographic rainbow iridescent chrome gradient prismatic","rgba linear-gradient multi-stop","#FFFFFF #111111","iridescent gradient shift on hover; chrome border; shimmer keyframe","luxury brand fashion tech creative premium","accessibility-first enterprise text-heavy apps",yes,yes,AA,"WCAG 2.2 SC 1.4.11"
42,data-dense,Terminal,"terminal monospace command-line CLI text-only keyboard-driven","#000000 #00FF00","#001100 #003300","cursor blink 1s; scan line; no mouse-only affordances","developer tools ops dashboards CLI wrappers","consumer apps mobile visual brands",no,yes,AA,"WCAG 2.2 SC 1.3.1"
43,data-dense,Financial,"financial numbers tables precision serif trust confidence authority","#003087 #FFFFFF","#F5F5F5 #E5E5E5","none; row stripe; sort animation 150ms; sticky header","fintech banking trading portfolio analytics","consumer playful entertainment",yes,yes,AA,"WCAG 2.2 / ISO 9241 Ergonomics"
44,data-dense,Scientific,"data visualization scientific chart heavy precision measurement","#003153 #FFFFFF","#E8F4F8 #B8D4E2","chart transitions 400ms; tooltip fade 150ms; zoom cursor","research analytics BI tools dashboards","landing pages consumer entertainment",yes,yes,AA,"WCAG 2.2 / W3C Data Visualization"
45,data-dense,Heatmap Overlay,"heatmap density overlay data layer color-coded intensity grid","#FFFFFF #000000","#FF0000 to #0000FF gradient","opacity layers; hover tooltip; color scale legend","analytics monitoring error tracking usage maps","consumer brand marketing landing pages",yes,yes,AA,"WCAG 2.2 SC 1.4.1 Use of Color"
46,content-first,Card Grid,"card-based grid layout flexible equal-height product showcase","#FFFFFF #1A1A1A","#F3F4F6 #D1D5DB","card hover lift 0 4px 12px 200ms; lazy load fade; skeleton pulse","e-commerce directories listings products","developer tools IDE single-column flows",yes,yes,AA,"Material Design 3 Cards / WCAG 2.2"
47,content-first,List View,"list-based vertical scrollable linear organized sequential","#FFFFFF #111111","#F9FAFB #E5E7EB","row hover bg 150ms; checkbox animation; expand/collapse 200ms","email clients settings file browsers feed","image-heavy galleries brand landing",yes,yes,AA,"Apple HIG 2025 / WCAG 2.2 SC 2.4"
48,content-first,Feed Infinite,"infinite scroll social media feed card stream stacked","#FFFFFF #111111","#F3F4F6 #E5E7EB","infinite scroll; skeleton loader; pull-to-refresh mobile","social platforms news feeds activity streams","enterprise admin tools forms data entry",yes,yes,AA,"WCAG 2.2 SC 2.1.1 Keyboard"
49,content-first,Gallery Mosaic,"masonry photo gallery image grid asymmetric height overflow","#000000 #FFFFFF","#1A1A1A #333333","hover scale 1.02 200ms; lazy-load blur-to-sharp; lightbox fade","photography art portfolios media libraries","text-heavy data tools enterprise",yes,yes,AA,"WCAG 2.2 SC 1.1.1 Alt Text"
50,content-first,Wizard Flow,"multi-step form wizard progress sequential onboarding guided","#FFFFFF #111111","#EFF6FF #3B82F6","step transition slide 300ms; progress bar fill; validation inline","onboarding signup checkout settings","dashboards monitoring real-time tools",yes,yes,AA,"WCAG 2.2 SC 3.3 Input Assistance"
51,multi-platform,Responsive Adaptive,"responsive mobile-first breakpoint adaptive fluid flexible all-screen","#FFFFFF #111111","#F9FAFB #374151","none; layout shift prevention; fluid typography clamp()","cross-platform all-device consumer enterprise","fixed-width desktop-only tools",yes,yes,AA,"WCAG 2.2 SC 1.4.10 Reflow / W3C Responsive"
52,multi-platform,Cross-CLI Platform,"cli terminal web platform-neutral command line interface","#0D1117 #58A6FF","#161B22 #21262D","none; monospace; high contrast borders","multi-platform tooling developer products IJFW","consumer brand visual marketing",yes,yes,AA,"WCAG 2.2 / W3C ARIA Practices"
53,multi-platform,Progressive Web App,"PWA installable offline-capable service-worker mobile-native-feel","#FFFFFF #111827","#F9FAFB #6B7280","install prompt 300ms; offline indicator; app-shell transition","SaaS mobile-responsive consumer apps","desktop-only internal tools",yes,yes,AA,"W3C PWA / WCAG 2.2"
54,multi-platform,Electron Desktop,"desktop Electron Tauri native-like titlebar custom chrome window","#1E1E1E #CCCCCC","#252526 #3C3C3C","window drag; menu hover 100ms; custom scrollbar","desktop apps developer tools offline tools","mobile web consumer marketing",no,yes,AA,"Apple HIG 2025 / WCAG 2.2"
55,multi-platform,IJFW Dashboard,"multi-cli dashboard platform-segregated provider-aware observation-led","#0F172A #F8FAFC","#1E293B #3B82F6","provider badge color-coded; wave animation 400ms; observation ticker","IJFW projects multi-agent platforms AI tools","single-platform single-CLI standalone apps",yes,yes,AA,"WCAG 2.2 / IJFW Design System v1.1"
